Timestamp,Equipment,Load (%),Power (kW),Voltage (V),Current (A),Temperature (C),Downtime (min)
1/1/2025 0:00,Motor-101,54.44,15.49,389.36,44.82,63.3,0
1/1/2025 1:00,Motor-101,69.16,20.96,422.48,55.9,73.52,0
1/1/2025 2:00,Motor-101,72.1,23.06,391,66.45,72.21,0
1/1/2025 3:00,Motor-101,68.15,25.11,397.47,71.2,72.79,0
1/1/2025 4:00,Motor-101,83.84,29.38,401.98,82.37,78.82,0
1/1/2025 5:00,Motor-101,85.83,32.45,410.85,89,82.69,0
1/1/2025 6:00,Motor-101,90.61,25.92,390.23,74.85,83.34,0
1/1/2025 7:00,Motor-101,85.98,31.61,385.86,92.31,83.48,0
1/1/2025 8:00,Motor-101,80.87,23.93,409.71,65.81,78.2,0
1/1/2025 9:00,Motor-101,80.07,27.58,419.75,74.04,78.82,0
1/1/2025 10:00,Motor-101,88.89,36.65,391.09,105.59,85.72,0
1/1/2025 11:00,Motor-101,68.86,22.22,435.31,57.52,73.08,0
1/1/2025 12:00,Motor-101,54.95,21.87,396.28,62.18,59.81,0
1/1/2025 13:00,Motor-101,45.5,14.27,412.56,38.97,55.54,0
1/1/2025 14:00,Motor-101,47.91,19.97,423.74,53.11,60.52,0
1/1/2025 15:00,Motor-101,40,15.73,386.95,45.81,52.75,0
1/1/2025 16:00,Motor-101,40,12.59,383.81,36.98,56.2,0
1/1/2025 17:00,Motor-101,40,17.15,418.25,46.2,52.2,0
1/1/2025 18:00,Motor-101,40,16.57,422.79,44.17,53.85,0
1/1/2025 19:00,Motor-101,40,14.67,409.63,40.36,54.68,0
1/1/2025 20:00,Motor-101,40,11.15,386.47,32.5,53.88,0
1/1/2025 21:00,Motor-101,40,16.95,410.51,46.52,56.08,0
1/1/2025 22:00,Motor-101,42.33,14.24,425.33,37.74,52.41,0
1/1/2025 23:00,Motor-101,51.17,20.74,389.67,59.97,59.85,0
1/2/2025 0:00,Motor-101,62.51,26.88,432.29,70.1,69.82,0
1/2/2025 1:00,Motor-101,74.62,26.62,433.77,69.19,75.13,0
1/2/2025 2:00,Motor-101,73.72,29.89,405.63,83.09,73.49,0
1/2/2025 3:00,Motor-101,67.94,20.1,393.33,57.61,71.45,0
1/2/2025 4:00,Motor-101,88.25,31.5,399.39,88.91,82.62,0
1/2/2025 5:00,Motor-101,84.26,38.82,438.31,99.85,83.37,0
1/2/2025 6:00,Motor-101,89.91,29.01,398.05,82.17,80.6,0
1/2/2025 7:00,Motor-101,89.49,26.71,410.16,73.43,82.83,0
1/2/2025 8:00,Motor-101,88.37,26.52,394.37,75.82,82.5,0
1/2/2025 9:00,Motor-101,82.91,31.01,394.52,88.62,79.73,0
1/2/2025 10:00,Motor-101,71.12,25.31,423.69,67.36,74.22,0
1/2/2025 11:00,Motor-101,74.79,22.86,412.15,62.53,77.66,0
1/2/2025 12:00,Motor-101,57.53,16.3,391.19,46.96,66.37,0
1/2/2025 13:00,Motor-101,60.77,20.63,381,61.06,68.21,0
1/2/2025 14:00,Motor-101,48.25,17.98,390.46,51.93,56.5,0
1/2/2025 15:00,Motor-101,41.89,13.51,388.25,39.23,54.81,0
1/2/2025 16:00,Motor-101,40,16.78,419.6,45.08,55.11,0
1/2/2025 17:00,Motor-101,40,11.72,394.51,33.49,59.08,0
